Date,"Imp Vol","1D IV Chg","IV Rank","IV Pctl","P/C Vol","Options Vol","P/C OI","Total OI",Last
2024-06-26,0.00%,-7.57%,0.00%,0%,0,10,0.071682464454976,7236,43.36
2024-06-25,7.57%,-6.05%,9.23%,3%,0.44347826086957,166,0.073383458646617,7138,43.22
2024-06-24,13.62%,-0.33%,30.53%,8%,0.5,3,0.07324409685667,7136,43.98
2024-06-21,13.95%,+0.45%,31.71%,9%,0,13,0.079542075527803,7261,44.26
2024-06-20,13.50%,+13.50%,30.12%,7%,0.56603773584906,83,0.075361886285629,7206,44.17
2024-06-18,0.00%,unch,0.00%,0%,0.38181818181818,152,0.070367000303306,7058,44.13
2024-06-17,0.00%,-25.42%,0.00%,0%,0.4,7,0.070116861435726,7051,41.76
2024-06-14,25.42%,+25.42%,72.10%,25%,0.025,41,0.070697816460528,7012,41.31
2024-06-07,0.00%,unch,0.00%,0%,0,4002,0.13475489118488,5162,39.87
2024-06-06,0.00%,unch,0.00%,0%,999.99,1,0.13453506265113,5161,40.36
2024-06-05,0.00%,unch,0.00%,0%,0,2,0.13459423795909,5159,40.24
2024-06-04,0.00%,-11.96%,0.00%,0%,0.2,24,0.13342111037964,5165,40.7
2024-06-03,11.96%,+3.40%,24.70%,3%,1.8333333333333,34,0.12942210503186,5140,41.7
2024-05-31,8.57%,-0.39%,12.74%,0%,26,54,0.12920237310481,5139,40.59
2024-05-30,8.96%,-4.69%,14.12%,0%,0.0007444169,4033,0.12854648625055,5171,40.68
2024-05-28,13.65%,+2.16%,30.64%,3%,0.25,5,0.12844036697248,5166,42.8
2024-05-24,11.49%,+6.54%,23.04%,1%,0,6,0.12860892388451,5160,42.88
2024-05-23,4.95%,-8.24%,0.00%,0%,0.0099667774086379,304,0.13705346719589,4870,42.5
2024-05-22,13.19%,+3.72%,16.12%,1%,999.99,237,0.081718421667056,4633,43.42
2024-05-21,9.46%,-15.88%,0.62%,0%,999.99,100,0.058370301190754,4533,44.39
2024-05-20,25.34%,+11.47%,66.71%,22%,2,15,0.056035489143124,4523,44.14
2024-05-17,13.87%,+0.18%,18.96%,2%,2.5,14,0.092703074804956,4762,43.89
2024-05-15,13.69%,+1.18%,18.20%,1%,0.098591549295775,78,0.093873747961798,4696,43.79
2024-05-14,12.50%,-0.98%,13.27%,0%,0.0024691358024691,4060,1.6172839506173,636,43.01
2024-05-13,13.48%,-11.86%,17.36%,0%,0.375,55,1.548,637,42.95
2024-05-10,25.34%,+2.53%,66.70%,20%,0.2,12,1.6041666666667,625,42.53
2024-05-09,22.81%,+3.23%,56.18%,5%,999.99,95,1.2666666666667,544,42.04
2024-05-07,19.58%,-10.63%,41.70%,1%,8.3333333333333,28,1.2827004219409,541,41.47
2024-05-06,30.21%,+2.43%,84.86%,91%,0,9,1.3333333333333,532,41.75
2024-05-03,27.78%,+1.16%,74.97%,63%,0.0099009900990099,102,1.3318777292576,534,41.57
2024-05-02,26.62%,+0.49%,70.28%,43%,999.99,11,1.3362445414847,535,41.17
2024-05-01,26.13%,-1.85%,68.29%,30%,0.25,5,1.3304347826087,536,40.51
2024-04-30,27.98%,-2.29%,75.79%,65%,999.99,11,1.2826086956522,525,40.12
2024-04-29,30.27%,+3.76%,85.10%,92%,1.6666666666667,16,1.283185840708,516,41.09
2024-04-26,26.51%,-1.70%,69.84%,39%,1,2,1.2844444444444,514,40.04
2024-04-25,28.21%,+0.60%,76.73%,70%,4,5,1.2666666666667,510,39.02
2024-04-23,27.61%,-3.03%,74.30%,60%,1.9230769230769,76,1.1809045226131,434,38.84
2024-04-22,30.65%,+2.17%,86.62%,94%,0,15,1.1868686868687,433,38.32
2024-04-19,28.48%,-0.97%,77.82%,77%,999.99,105,1.0727699530516,883,38.4
2024-04-18,29.45%,-0.81%,81.76%,85%,0,16,1.045766590389,894,38.26
2024-04-16,30.26%,+0.40%,85.05%,92%,0,80,1.0933014354067,875,38.33
2024-04-15,29.86%,+0.55%,83.42%,89%,999.99,7,1.0933014354067,875,38.97
2024-04-12,29.31%,+2.56%,81.18%,86%,0.0099009900990099,102,1.4326018808777,776,39.6
2024-04-10,26.75%,+0.34%,70.79%,47%,999.99,15,1.3887147335423,762,40.14
2024-04-09,26.40%,-3.61%,69.39%,38%,1,2,1.38125,762,41.17
2024-04-08,30.01%,-2.46%,84.05%,91%,0,4,1.3987341772152,758,40.4
2024-04-05,32.47%,+2.05%,94.04%,98%,0,4,1.4166666666667,754,40.26
2024-04-04,30.42%,+21.11%,85.72%,94%,0,4,1.4258064516129,752,39.68
2024-04-03,9.31%,-17.26%,0.00%,0%,999.99,2,1.4258064516129,752,39.62
2024-04-01,26.57%,+1.11%,62.05%,41%,0.33333333333333,8,1.4473684210526,744,39.03
2024-03-28,25.46%,+3.76%,56.32%,20%,999.99,18,1.4013157894737,730,39.17
2024-03-27,21.69%,-2.39%,36.94%,3%,999.99,17,1.3453947368421,713,39
2024-03-25,24.08%,+2.84%,49.22%,10%,1.7307692307692,71,1.2465753424658,656,38.33
2024-03-22,21.24%,-1.44%,34.58%,3%,999.99,3,1.236301369863,653,38.23
2024-03-21,22.67%,-0.18%,41.98%,5%,999.99,3,1.2260273972603,650,38.72
2024-03-20,22.85%,+0.34%,42.91%,5%,0.016393442622951,62,1.3210332103321,629,38.8
2024-03-19,22.52%,-1.43%,41.17%,4%,1,4,1.3136531365314,627,37.58
2024-03-18,23.95%,+9.43%,48.56%,7%,0,65,1.2027027027027,652,37.54
2024-03-15,14.52%,-11.07%,0.00%,1%,0,2,1.1338582677165,813,38.32
2024-03-14,25.59%,+0.02%,36.40%,17%,0,1,1.1338582677165,813,38.76
2024-03-13,25.57%,-0.70%,36.29%,17%,0,10,1.130890052356,814,39.65
2024-03-11,26.28%,-1.36%,41.02%,29%,999.99,1,1.130890052356,814,39.17
2024-03-07,27.64%,+1.04%,50.16%,55%,999.99,4,1.1428571428571,810,39.14
2024-03-06,26.60%,+0.50%,43.19%,36%,999.99,8,1.1644204851752,803,39.02
2024-03-01,26.10%,-2.91%,39.86%,24%,999.99,1,1.1675675675676,802,38.05
2024-02-29,29.02%,+0.03%,59.44%,76%,2,3,1.1707317073171,801,37.15
2024-02-28,28.99%,+2.87%,59.24%,76%,1.5,40,1.1780821917808,795,36.9
2024-02-27,26.12%,+0.41%,39.93%,24%,2.5,7,1.1803278688525,798,37.72
2024-02-26,25.71%,-0.48%,37.18%,19%,0.2,6,1.1873278236915,794,37.73
2024-02-22,26.19%,-0.74%,40.43%,25%,999.99,4,1.1955922865014,797,38.34
2024-02-21,26.93%,-0.90%,45.39%,40%,4,5,1.1988950276243,796,38.27
2024-02-20,27.82%,-0.39%,51.41%,54%,9.1666666666667,61,1.0614525139665,738,38.27
2024-02-16,28.22%,+0.54%,54.07%,62%,999.99,2,1.1097256857855,846,38.66
2024-02-15,27.68%,+1.66%,50.44%,53%,999.99,7,1.0997506234414,842,38.17
2024-02-14,26.02%,-4.02%,39.28%,22%,1,10,1.1010101010101,832,37.89
2024-02-13,30.04%,+3.03%,66.31%,86%,11,12,1.0931989924433,831,37.5
2024-02-12,27.00%,-0.30%,45.90%,41%,999.99,3,1.085,834,38.6
2024-02-09,27.30%,-0.42%,47.91%,48%,999.99,1,1.085,834,38.35
2024-02-08,27.72%,-0.03%,49.54%,52%,3.75,19,1.0618811881188,833,38.45
2024-02-07,27.74%,+0.69%,49.70%,52%,3.3333333333333,13,1.0371287128713,823,39.11
2024-02-06,27.06%,-1.13%,45.19%,41%,999.99,1,1.0371287128713,823,39.59
2024-02-05,28.19%,+1.10%,52.60%,57%,999.99,2,1.0371287128713,823,38.55
2024-02-02,27.09%,-0.91%,45.38%,42%,0.083333333333333,26,1.0610687022901,810,39.01
2024-02-01,28.00%,+0.48%,51.38%,54%,0.5,3,1.0639386189258,807,39.94
2024-01-31,27.52%,+0.02%,48.25%,50%,999.99,44,1.1885714285714,766,39.22
2024-01-30,27.51%,-0.76%,48.14%,50%,999.99,10,1.2093023255814,760,39.3
2024-01-29,28.27%,+1.31%,53.17%,58%,999.99,1,1.2057971014493,761,39.33
2024-01-26,26.96%,-0.50%,44.53%,41%,0.2,18,1.1971014492754,758,39.63
2024-01-25,27.46%,-0.98%,47.84%,48%,999.99,2,1.1971014492754,758,38.96
2024-01-24,28.44%,+1.33%,54.29%,62%,0.078947368421053,41,1.15,774,38.89
2024-01-23,27.12%,-2.96%,45.58%,42%,999.99,1,1.1532033426184,773,38.36
2024-01-22,30.07%,+3.34%,65.01%,85%,0.92307692307692,150,1.2163120567376,625,37.37
2024-01-19,26.74%,-3.10%,43.08%,38%,0.75,14,1.4410256410256,952,38.11
2024-01-18,29.83%,-1.79%,63.43%,82%,999.99,3,1.4809160305344,975,37.87
2024-01-17,31.63%,+8.64%,75.22%,93%,13.4,72,1.5244215938303,982,37.32
2024-01-16,22.99%,-3.12%,18.48%,4%,0.38095238095238,29,1.6181318681319,953,38
2024-01-12,26.11%,-1.03%,38.96%,23%,999.99,10,1.6638418079096,943,39.59
2024-01-10,27.14%,-1.65%,45.71%,41%,0.71428571428571,12,1.6974063400576,936,39.04
2024-01-09,28.79%,-1.48%,56.57%,66%,999.99,9,1.7122093023256,933,39.35
2024-01-08,30.27%,+2.99%,66.29%,86%,999.99,4,1.7072463768116,934,39.86
2024-01-05,27.28%,-2.43%,46.68%,44%,999.99,42,1.8522012578616,907,39.67
2024-01-04,29.72%,-1.40%,62.65%,80%,0.14285714285714,8,1.8846153846154,900,39.54
2024-01-03,31.11%,+1.40%,71.82%,90%,2,9,1.915857605178,901,39.77
2024-01-02,29.71%,+5.54%,62.61%,79%,5,6,1.9188311688312,899,40.83
2023-12-29,24.17%,-2.97%,26.24%,8%,999.99,14,2.0102040816327,885,41.79
2023-12-28,27.15%,-2.13%,45.77%,40%,999.99,18,2.1258992805755,869,40.94
2023-12-27,29.28%,+1.29%,59.78%,73%,1.8947368421053,55,2.1094339622642,824,41.97
2023-12-26,27.99%,+4.34%,51.33%,50%,999.99,3,2.1335877862595,821,40.97
2023-12-22,23.65%,-3.60%,22.78%,4%,14,30,2.2159090909091,849,40.75
2023-12-21,27.25%,+3.14%,46.44%,42%,999.99,2,2.2075471698113,850,41.31
2023-12-20,24.11%,-1.74%,25.83%,6%,1.5,10,2.2251908396947,845,40.55
2023-12-19,25.85%,-1.79%,37.24%,19%,0.035714285714286,29,2.1046931407942,860,41.52
2023-12-18,27.64%,+0.40%,49.01%,44%,0.66666666666667,5,2.1127272727273,856,40.58
2023-12-15,27.24%,+2.37%,46.38%,41%,16,119,2.0747126436782,1070,41.83
2023-12-14,24.86%,-1.10%,30.26%,12%,999.99,10,2.1173020527859,1063,42.05
2023-12-13,25.96%,+2.09%,37.34%,19%,999.99,6,2.1114369501466,1061,40.05
2023-12-12,23.87%,-2.71%,23.82%,5%,0.69230769230769,22,2.1209439528024,1058,39.03
2023-12-11,26.58%,+0.36%,41.35%,30%,0.5,6,2.1275964391691,1054,39.34
2023-12-08,26.22%,-0.12%,39.01%,22%,2,9,2.1220238095238,1049,39.22
2023-12-07,26.34%,-1.47%,39.81%,23%,999.99,1,2.1220238095238,1049,39.86
2023-12-06,27.81%,+1.23%,49.32%,42%,14,30,2.1347305389222,1047,39.71
2023-12-04,26.58%,+0.93%,38.78%,29%,1.65,53,2.2054380664653,1061,40.25
2023-12-01,25.65%,-0.01%,33.15%,15%,13,28,2.1363636363636,1035,40.8
2023-11-29,25.66%,+0.84%,33.21%,15%,999.99,7,2.1826625386997,1028,40.5
2023-11-28,24.83%,-1.27%,28.15%,10%,0.30555555555556,47,2.1892744479495,1011,41.06
2023-11-27,26.09%,+0.48%,35.81%,18%,2,3,2.1898734177215,1008,40.58
2023-11-24,25.61%,-1.18%,32.88%,14%,0.27272727272727,14,2.272131147541,998,40.26
2023-11-22,26.79%,+1.00%,40.00%,30%,0.25,20,2.2664473684211,993,39.53
2023-11-21,25.78%,-0.19%,33.93%,15%,52,53,2.1023102310231,940,39.93
2023-11-20,25.97%,-0.66%,35.08%,16%,3.4827586206897,130,1.9074733096085,817,40.64
2023-11-17,26.63%,+0.20%,31.38%,26%,999.99,2,1.8922155688623,1449,40.34
2023-11-16,26.43%,unch,30.41%,23%,999.99,10,1.872255489022,1439,40.25
2023-11-15,26.43%,+0.03%,30.42%,23%,2.96,99,1.8193018480493,1373,41.4
2023-11-14,26.40%,+1.49%,30.26%,22%,5,312,1.4474885844749,1072,40.78
2023-11-13,24.91%,-1.92%,23.03%,11%,999.99,26,1.4709976798144,1065,38.57
2023-11-08,26.83%,-0.26%,32.37%,27%,999.99,2,1.4663573085847,1063,39.31
2023-11-07,27.09%,-1.30%,33.63%,29%,20,42,1.3672055427252,1025,39.36
2023-11-06,28.39%,+2.25%,39.97%,43%,0.33333333333333,4,1.3744186046512,1021,40.23
2023-11-03,26.14%,-1.02%,28.99%,16%,0.20689655172414,35,1.4422604422604,994,40.53
2023-11-02,27.16%,-1.38%,33.95%,29%,0.18181818181818,78,1.6862170087977,916,39.07
2023-11-01,28.53%,-1.21%,40.65%,45%,0,1,1.683284457478,915,37.84
2023-10-31,29.74%,-0.58%,46.54%,63%,0,5,1.7083333333333,910,37.39
2023-10-30,30.32%,-0.66%,49.36%,68%,0.9375,31,1.825,904,37.27
2023-10-27,30.98%,-1.36%,52.57%,71%,0,15,1.778125,889,37.04
2023-10-26,32.34%,-0.91%,59.17%,78%,60,122,1.4119496855346,767,37.04
2023-10-25,33.25%,+3.21%,63.60%,82%,0,9,1.4577922077922,757,36.8
2023-10-24,30.04%,-0.77%,46.64%,66%,0,7,1.4916943521595,750,37.31
2023-10-23,30.81%,-1.49%,50.27%,70%,2.2989690721649,320,1.0966183574879,434,37.39
2023-10-20,32.30%,+0.96%,57.32%,77%,0,3,1.3888888888889,1032,37.14
2023-10-19,31.33%,-2.01%,52.75%,73%,0.75,7,1.393023255814,1029,37.71
2023-10-18,33.34%,+4.04%,62.25%,80%,0.052631578947368,20,1.4433734939759,1014,38
2023-10-16,29.30%,+0.65%,43.16%,57%,0,4,1.4574209245742,1010,39.16
2023-10-11,28.65%,-1.05%,39.20%,45%,0,65,1.4399038461538,1015,39.25
2023-10-10,29.70%,-0.13%,39.92%,61%,3,16,1.4580335731415,1025,38.61
2023-10-09,29.83%,-0.06%,40.46%,61%,0,3,1.4508393285372,1022,37
2023-10-05,29.90%,-0.08%,40.73%,61%,0,4,1.4412470023981,1018,36.15
2023-10-04,29.98%,-1.05%,41.06%,62%,0.15,23,1.5062972292191,995,36.15
2023-10-03,31.03%,+10.85%,45.46%,67%,0,3,1.5088161209068,996,36.27
2023-10-02,20.18%,-6.65%,0.00%,1%,0.58333333333333,19,1.4523227383863,1003,36.58
2023-09-29,26.83%,-1.22%,27.35%,25%,0.26666666666667,38,1.3348519362187,1025,37.62
2023-09-28,28.05%,+1.44%,32.49%,35%,0,4,1.3257403189066,1021,37.82
2023-09-27,26.26%,-1.22%,24.92%,17%,0.12,56,1.5685279187817,1012,37.34
2023-09-25,27.48%,+0.81%,30.06%,29%,0,7,1.4869791666667,955,38.37
2023-09-22,26.66%,+1.64%,26.62%,23%,2,3,1.4882506527415,953,38.71
2023-09-21,25.02%,+1.99%,19.70%,11%,0,1,1.4856396866841,952,38.23
2023-09-20,23.03%,-1.41%,11.31%,3%,4,15,1.4581151832461,939,39.19
2023-09-19,24.44%,-0.46%,17.24%,7%,0,85,1.8691275167785,855,38.49
2023-09-18,24.90%,+0.34%,19.18%,9%,0,20,2.0035971223022,835,38.32
2023-09-15,24.56%,-0.30%,17.74%,7%,0,68,1.5235602094241,964,38.58
2023-09-14,24.86%,+0.71%,19.02%,9%,0,10,1.5497382198953,974,38.67
2023-09-13,24.15%,-1.50%,16.03%,5%,5,12,1.5287958115183,966,39
2023-09-12,25.65%,+0.17%,22.37%,10%,0,10,1.5449735449735,962,39.11
2023-09-11,25.48%,-1.19%,21.64%,9%,0,11,1.5869565217391,952,39.23
2023-09-08,26.67%,-0.52%,26.68%,20%,0,1,1.5869565217391,952,38.43
2023-09-06,27.19%,+0.11%,28.87%,22%,0,22,1.5815217391304,950,38.46
2023-09-05,27.08%,+1.24%,28.39%,22%,0.33333333333333,4,1.5972602739726,948,38.58
2023-09-01,25.84%,-0.94%,23.17%,11%,0,2,1.5917808219178,946,39.4
2023-08-31,26.78%,-6.46%,27.14%,19%,0,43,1.4739726027397,903,39.11
2023-08-30,33.25%,+7.10%,54.43%,70%,0,14,1.4575342465753,897,40.26
2023-08-29,26.15%,-0.74%,24.47%,11%,0,8,1.4860335195531,890,40.81
2023-08-28,26.89%,-1.29%,27.60%,19%,1.1269841269841,134,1.4097859327217,788,40.61
2023-08-24,28.18%,-0.07%,33.05%,28%,0,81,1.8739837398374,707,39.56
2023-08-23,28.26%,+0.86%,33.36%,29%,0,2,1.8893442622951,705,40.26
2023-08-22,27.40%,-0.96%,29.74%,22%,0,2,1.8971193415638,704,38.88
2023-08-21,28.36%,-0.43%,33.80%,30%,0.5,6,1.9205020920502,698,39.04
2023-08-18,28.79%,-0.54%,35.60%,37%,5,12,2.2434210526316,986,38.61
2023-08-17,29.32%,+0.04%,37.86%,48%,0.97894736842105,188,3.7081339712919,984,38.8
2023-08-16,29.29%,+0.46%,37.71%,47%,0,1,4.0095693779904,1047,39.1
2023-08-15,28.83%,+0.97%,35.78%,38%,0,3,4.1105769230769,1063,39.57
2023-08-14,27.87%,-0.13%,31.71%,25%,0.2,12,4.3080808080808,1051,40.16
2023-08-11,27.99%,-0.43%,32.24%,27%,0,1,4.3030303030303,1050,40.69
2023-08-08,28.43%,-0.05%,34.07%,33%,4.3333333333333,32,4.3030303030303,1050,40.78
2023-08-07,28.47%,+0.10%,34.28%,33%,1.1666666666667,117,4.2361111111111,1131,41.27
2023-08-04,28.38%,-0.14%,33.87%,31%,0,1,4.2558139534884,1130,41.47
2023-08-03,28.52%,+6.29%,34.45%,33%,19,20,4.2046511627907,1119,40.95
2023-08-02,22.23%,-5.74%,7.92%,2%,2,6,4.2196261682243,1117,41.51
2023-08-01,27.97%,+1.61%,32.13%,27%,11.571428571429,88,4.1787439613527,1072,43.13
2023-07-31,26.36%,+0.60%,25.33%,15%,1,2,4.1941747572816,1070,44.6
2023-07-28,25.75%,+3.87%,22.78%,10%,3,24,4.1674876847291,1049,44.99
2023-07-27,21.89%,-5.59%,6.46%,2%,5.7777777777778,61,3.9306930693069,996,43.57
2023-07-26,27.48%,+1.00%,30.07%,23%,0,30,3.7821782178218,966,44.16
2023-07-25,26.48%,+0.14%,25.84%,16%,0.055555555555556,19,4.1297297297297,949,43.99
2023-07-24,26.34%,+0.01%,25.27%,13%,0,12,4.4161849710983,937,43.28
2023-07-21,26.33%,-0.75%,25.24%,13%,9.4375,167,1.5792507204611,3580,42.49
2023-07-20,27.08%,+0.47%,28.39%,19%,0,3,1.5792507204611,3580,42.74
2023-07-19,26.61%,+0.09%,26.43%,17%,0,2,1.5792507204611,3580,42.89
2023-07-18,26.52%,-0.19%,26.05%,15%,12.375,107,1.5231884057971,3482,42.98
2023-07-17,26.71%,+1.87%,26.84%,17%,0,2,1.5217391304348,3480,42.69
2023-07-13,24.85%,-1.29%,18.96%,7%,5.2105263157895,118,1.4698620188816,3401,42.9
2023-07-12,26.13%,-0.11%,24.40%,10%,0.27631578947368,97,1.4792122538293,3399,41.8
2023-07-11,26.24%,-0.15%,24.86%,11%,0.22222222222222,11,1.4875183553598,3388,39.9
2023-07-10,26.39%,+0.04%,25.50%,13%,10,22,1.4728340675477,3368,38.94
2023-07-06,26.35%,+0.72%,25.33%,12%,10.5,23,1.4584864070536,3346,38.03
2023-07-05,25.64%,+1.87%,22.30%,8%,0.5,3,1.4606328182487,3344,39.58
2023-06-30,23.77%,-1.66%,14.42%,2%,0,49,1.4503311258278,3330,39.78
2023-06-28,25.43%,+2.91%,21.44%,7%,10,22,1.4377302873987,3308,39.56
2023-06-22,22.52%,-1.30%,9.16%,2%,2,3,1.4380530973451,3306,40.07
2023-06-21,23.82%,-0.56%,14.63%,2%,3,4,1.4362564480472,3306,40.58
2023-06-20,24.38%,+0.52%,16.98%,4%,1.9,232,1.407204385278,3074,41.21
2023-06-16,23.85%,-0.44%,14.77%,2%,5.5,13,1.4199716713881,3417,42.25
2023-06-15,24.29%,+0.16%,16.62%,2%,41.833333333333,257,0.91928721174004,3662,42.35
2023-06-14,24.13%,+0.05%,13.55%,2%,2.0359281437126,1521,1.2380952380952,3149,41.92
2023-06-13,24.08%,-0.25%,13.37%,2%,1.5714285714286,90,0.89543524416136,3571,41.03
2023-06-12,24.33%,+3.11%,14.25%,2%,0,501,1.2198120028923,3070,40.52
2023-06-09,21.22%,-3.43%,3.10%,1%,0,12,1.2304886943837,3058,40.54
2023-06-08,24.65%,-1.15%,15.42%,2%,0.43137254901961,73,1.2643939393939,2989,39.9
2023-06-07,25.80%,+1.23%,19.55%,3%,0,11,1.2822641509434,3024,39.23
2023-06-06,24.58%,-2.57%,15.14%,2%,1.4285714285714,17,1.2756024096386,3022,39.4
2023-06-05,27.15%,+1.98%,24.38%,9%,0,93,1.1971731448763,3109,39.12
2023-06-02,25.17%,-2.79%,17.27%,2%,0,34,1.173851590106,3076,38.81
2023-06-01,27.96%,-0.31%,27.29%,13%,6,7,1.1732673267327,3073,38.08
2023-05-31,28.27%,-0.99%,28.39%,15%,0,11,1.1732673267327,3073,37.04
2023-05-30,29.26%,+2.40%,31.96%,29%,8,180,1.2474892395983,3133,36.81
2023-05-26,26.86%,-1.48%,23.35%,8%,3.7741935483871,148,1.1900220102715,2985,37.51
2023-05-25,28.34%,-0.08%,28.65%,15%,0.031578947368421,98,1.2743710691824,2893,37.21
2023-05-24,28.42%,+0.21%,28.94%,16%,0,41,1.2429245283019,2853,38.45
2023-05-23,28.22%,+0.99%,28.21%,14%,0.67164179104478,112,1.2746887966805,2741,38.61
2023-05-22,27.22%,-0.81%,24.65%,8%,1.1936444885799,2209,1.6884422110553,535,39.2
2023-05-19,28.03%,+0.02%,27.55%,12%,0.22222222222222,143,1.5708154506438,599,38.71
2023-05-18,28.02%,-0.91%,27.50%,12%,0,6,1.6480686695279,617,38.77
2023-05-17,28.93%,-0.28%,30.76%,19%,0.4,7,1.6798245614035,611,39.52
2023-05-16,29.21%,+1.03%,31.76%,25%,202,203,0.80616740088106,410,39.62
2023-05-15,28.17%,-0.02%,28.05%,12%,0,17,0.82819383259912,415,40.15
2023-05-12,28.19%,+1.81%,28.11%,12%,5,6,0.82819383259912,415,39.19
2023-05-11,26.37%,-2.37%,21.60%,5%,6,21,0.76991150442478,400,39.12
2023-05-10,28.75%,-5.19%,30.11%,17%,0,14,0.70796460176991,386,40.77
2023-05-09,33.94%,+13.59%,48.75%,59%,0,3,0.69868995633188,389,41.24
2023-05-05,20.36%,-7.57%,0.00%,1%,0,1,0.6943231441048,388,42.41
2023-05-02,27.93%,+1.35%,14.25%,10%,3,4,0.68421052631579,384,42.23
2023-04-28,26.58%,-1.81%,8.54%,6%,0,1,0.67982456140351,383,42.95
2023-04-27,28.39%,-0.89%,16.19%,11%,0,17,0.7345971563981,366,42.9
2023-04-26,29.28%,-0.18%,19.94%,24%,0,6,0.75609756097561,360,42.24
2023-04-25,29.46%,+3.64%,20.72%,24%,0,51,0.5219512195122,312,42.02
2023-04-24,25.81%,-0.36%,5.32%,4%,0,8,0.54314720812183,304,42.76
2023-04-21,26.17%,-0.47%,6.83%,4%,0,12,1.1704035874439,968,43.06
2023-04-20,26.64%,+0.19%,8.80%,7%,1.5,5,1.1756756756757,966,43.38
2023-04-18,26.45%,+0.04%,8.00%,7%,0,92,1.2794117647059,930,43.34
2023-04-17,26.41%,-0.95%,7.83%,4%,0,14,1.3115577889447,920,42.83
2023-04-14,27.36%,+1.16%,11.84%,9%,0,0,1.3115577889447,920,43.34
2023-04-13,26.20%,-2.22%,6.94%,4%,1.6666666666667,32,1.3076923076923,930,43.65
2023-04-12,28.42%,+28.42%,16.32%,12%,0,1,1.4900497512438,1001,41.93
2023-04-11,0.00%,-29.46%,0.00%,0%,0,0,1.4900497512438,1001,42.23
2023-04-10,29.46%,+0.71%,20.73%,22%,0.66666666666667,20,1.5153846153846,981,41.89
2023-04-06,28.75%,-0.38%,17.74%,14%,0,1,1.5153846153846,981,42.48
2023-04-05,29.14%,+0.09%,19.36%,18%,6.6666666666667,23,1.4897435897436,971,42.52
2023-04-04,29.05%,-0.03%,18.97%,17%,0,2,1.4974226804124,969,43.33
2023-04-03,29.08%,+0.05%,19.10%,17%,0,4,1.5012919896641,968,42.73
2023-03-31,29.02%,+0.06%,18.87%,17%,0,18,1.5660377358491,952,42.22
2023-03-30,28.96%,+0.27%,18.61%,15%,0.59090909090909,35,1.5561643835616,933,42.7
2023-03-29,28.69%,-1.30%,17.48%,13%,0.125,9,1.5910364145658,925,41.84
2023-03-28,29.99%,+29.99%,22.96%,26%,16.666666666667,53,1.4661016949153,873,42
2023-03-27,0.00%,-30.12%,0.00%,0%,0,0,1.4632768361582,872,40.81
2023-03-24,30.12%,-0.76%,23.50%,25%,0.75,14,1.4755043227666,859,40.95
2023-03-23,30.87%,+0.25%,26.70%,31%,0,18,1.5421686746988,844,40.92
2023-03-22,30.62%,-1.74%,25.62%,29%,0.66666666666667,5,1.5407854984894,841,40.2
2023-03-21,32.36%,+1.52%,32.98%,46%,0,10,1.5194029850746,844,39.29
2023-03-20,30.84%,-0.95%,26.54%,31%,0,6,1.3821138211382,879,39.15
2023-03-17,31.78%,-3.26%,30.53%,39%,3,4,1.4021739130435,884,39.19
2023-03-16,35.05%,+0.42%,44.32%,63%,0.16666666666667,7,1.3983739837398,885,39.38
2023-03-15,34.63%,+0.23%,42.56%,60%,0.85,37,1.4985673352436,872,39.05
2023-03-14,34.40%,+0.70%,41.60%,59%,0,1,1.5028735632184,871,40.42
2023-03-13,33.70%,+0.90%,38.65%,55%,0.020833333333333,49,1.6172839506173,848,40.41
2023-03-10,32.81%,+2.69%,34.87%,47%,4,5,1.6222910216718,847,40.55
2023-03-09,30.12%,+1.82%,23.51%,25%,0,0,1.6024464831804,851,39.98
2023-03-08,28.30%,-0.28%,15.83%,10%,1.1,21,1.6869009584665,841,40.49
2023-03-07,28.58%,+0.42%,16.99%,12%,0,2,1.6869009584665,841,40.66
2023-03-06,28.15%,+0.83%,15.20%,9%,0,1,1.6624605678233,844,41.9
2023-03-03,27.32%,-1.88%,11.68%,7%,0,3,1.6945337620579,838,42.18
2023-03-02,29.20%,+0.74%,19.63%,16%,3.3333333333333,13,1.6709677419355,828,41.82
2023-03-01,28.46%,-1.21%,16.49%,9%,3,4,1.6666666666667,824,42.27
2023-02-28,29.67%,-0.01%,21.61%,20%,8,72,1.5016077170418,778,40.98
2023-02-27,29.68%,+0.40%,21.63%,20%,0.50420168067227,179,1.9669811320755,629,40.9
2023-02-24,29.27%,+0.56%,19.93%,16%,0.018518518518519,55,1.9622641509434,628,40.72
2023-02-23,28.71%,-0.59%,17.56%,11%,1,4,1.9714285714286,624,41.87
2023-02-22,29.30%,-1.93%,20.03%,16%,0.045454545454545,23,2.1851851851852,602,41.35
2023-02-21,31.23%,+4.91%,28.20%,31%,0,16,0.97902097902098,849,41.56
2023-02-17,26.31%,-4.44%,16.12%,3%,0,1,1.2967289719626,983,42.72
2023-02-16,30.76%,+1.44%,33.13%,26%,0,10,1.2663551401869,970,42.99
2023-02-15,29.32%,+0.22%,27.63%,17%,0,3,1.2752941176471,967,43.29
2023-02-14,29.10%,-1.17%,26.77%,14%,0,0,1.2752941176471,967,43.88
2023-02-13,30.27%,-0.44%,31.25%,22%,0,0,1.2752941176471,967,43.77
2023-02-10,30.71%,-4.69%,32.94%,24%,0,1,1.2705882352941,965,43.16
